MoleculeIdx,ProtonatedIdx,ReferenceSmiles,ProtonatedSmiles,NeutralEnergy,ProtonatedEnergy
0,0,CC(C)(C)CCN,CC(C)(C)CC[NH3+],-35.45719,-6.76817
1,0,CCCC(C)(C)N,CCCC(C)(C)[NH3+],-36.72232,-11.54735
2,0,CC(C)(N)CCN,CC(C)([NH3+])CCN,-26.5798,0.43138
2,1,CC(C)(N)CCN,CC(C)(N)CC[NH3+],-26.5798,3.64369
3,0,CC(C)(N)CCO,CC(C)([NH3+])CCO,-74.57779,-49.72633
4,0,CC(C)(N)CCF,CC(C)([NH3+])CCF,-74.53633,-48.69137
5,0,CC(C)(O)CCN,CC(C)(O)CC[NH3+],-73.32291,-41.8095
6,0,CC(C)(F)CCN,CC(C)(F)CC[NH3+],-75.22035,-45.34281
7,0,CC(F)(F)CCN,CC(F)(F)CC[NH3+],-122.37104,-93.66268
8,0,NCCC(F)(F)F,[NH3+]CCC(F)(F)F,-174.14209,-149.31368
9,0,CNCC(C)(C)C,C[NH2+]CC(C)(C)C,-31.32664,1.33963
10,0,CNCC(C)(C)N,C[NH2+]CC(C)(C)N,-23.70309,9.62196
10,1,CNCC(C)(C)N,CNCC(C)(C)[NH3+],-23.70309,1.20836
11,0,CNCC(C)(C)O,C[NH2+]CC(C)(C)O,-70.22243,-37.66842
12,0,CNCC(C)(C)F,C[NH2+]CC(C)(C)F,-71.57972,-40.76765
13,0,CNCC(C)(F)F,C[NH2+]CC(C)(F)F,-118.36558,-90.53711
14,0,CNCC(F)(F)F,C[NH2+]CC(F)(F)F,-170.77055,-145.242
15,0,COCC(C)(C)N,COCC(C)(C)[NH3+],-62.14749,-36.87403
16,0,CCNC(C)(C)C,CC[NH2+]C(C)(C)C,-33.70478,-24.31382
17,0,CC(C)(C)CC#N,CC(C)(C)CC#[NH+],-2.09608,17.35077
18,0,CC(C)(N)CC=C,C=CCC(C)(C)[NH3+],-6.91065,18.07784
19,0,CC(C)(O)CC#N,CC(C)(O)CC#[NH+],-39.4777,-20.66981
20,0,CC(C)(F)CC#N,CC(C)(F)CC#[NH+],-39.36164,-22.20813
21,0,CC(F)(F)CC#N,CC(F)(F)CC#[NH+],-85.44562,-70.08655
22,0,FC(F)(F)CC#N,[NH+]#CCC(F)(F)F,-135.89584,-122.33121
23,0,CC(C)(C)NC=N,CC(C)(C)[NH2+]C=N,-8.23837,13.65952
23,1,CC(C)(C)NC=N,CC(C)(C)NC=[NH2+],-8.23837,-9.05438
24,0,CC(C)(C)NC=O,CC(C)(C)[NH2+]C=O,-64.91806,-40.42835
25,0,CC(C)(C)NN=C,C=N[NH2+]C(C)(C)C,15.11483,30.62964
25,1,CC(C)(C)NN=C,C=[NH+]NC(C)(C)C,15.11483,22.09418
26,0,CC(C)(C)ON=C,C=[NH+]OC(C)(C)C,-5.16867,-0.16522
27,0,CC(C)(N)CC#C,C#CCC(C)(C)[NH3+],27.08234,51.43988
28,0,CC=CC(C)(C)N,CC=CC(C)(C)[NH3+],-10.98392,-8.87878
29,0,CC(C)(N)C=CF,CC(C)([NH3+])C=CF,-46.56409,-27.32939
30,0,CC(C)(C)C=NN,CC(C)(C)C=[NH+]N,8.18479,31.35517
30,1,CC(C)(C)C=NN,CC(C)(C)C=N[NH3+],8.18479,21.7025
31,0,CC(C)(C)C=NO,CC(C)(C)C=[NH+]O,-20.98888,-16.41227
32,0,CC(C)(N)C=NO,CC(C)([NH3+])C=NO,-13.221,10.3806
32,1,CC(C)(N)C=NO,CC(C)(N)C=[NH+]O,-13.221,-10.39928
33,0,CC(C)(O)C=NN,CC(C)(O)C=[NH+]N,-30.45421,-6.83251
33,1,CC(C)(O)C=NN,CC(C)(O)C=N[NH3+],-30.45421,-16.47305
34,0,CC(C)(O)C=NO,CC(C)(O)C=[NH+]O,-59.40824,-56.68176
35,0,CC(C)(F)C=NN,CC(C)(F)C=[NH+]N,-29.63423,-7.29351
35,1,CC(C)(F)C=NN,CC(C)(F)C=N[NH3+],-29.63423,-19.35607
36,0,CC(C)(F)C=NO,CC(C)(F)C=[NH+]O,-58.28089,-58.23278
37,0,CC(F)(F)C=NN,CC(F)(F)C=[NH+]N,-77.43918,-71.79991
37,1,CC(F)(F)C=NN,CC(F)(F)C=N[NH3+],-77.43918,-63.45841
38,0,CC(F)(F)C=NO,CC(F)(F)C=[NH+]O,-105.44276,-104.468
39,0,NN=CC(F)(F)F,[NH3+]N=CC(F)(F)F,-129.00589,-118.11074
39,1,NN=CC(F)(F)F,N[NH+]=CC(F)(F)F,-129.00589,-123.51831
40,0,ON=CC(F)(F)F,O[NH+]=CC(F)(F)F,-155.44308,-155.55891
41,0,CC#CC(C)(C)N,CC#CC(C)(C)[NH3+],21.87658,42.76326
42,0,CC(N)C(C)(C)C,CC([NH3+])C(C)(C)C,-33.67879,-7.79057
43,0,CC(C)C(C)(C)N,CC(C)C(C)(C)[NH3+],-34.6781,-9.92491
44,0,CC(N)C(C)(C)N,CC([NH3+])C(C)(C)N,-26.18495,0.79558
44,1,CC(N)C(C)(C)N,CC(N)C(C)(C)[NH3+],-26.18495,0.27056
45,0,CC(O)C(C)(C)N,CC(O)C(C)(C)[NH3+],-73.11543,-46.2656
47,0,CC(C)(N)C(F)F,CC(C)([NH3+])C(F)F,-121.82775,-100.33595
48,0,CC(N)C(C)(C)O,CC([NH3+])C(C)(C)O,-71.58128,-46.16202
49,0,CC(N)C(C)(C)F,CC([NH3+])C(C)(C)F,-73.97042,-49.68208
50,0,CC(N)C(C)(F)F,CC([NH3+])C(C)(F)F,-122.64741,-100.26043
51,0,CC(N)C(F)(F)F,CC([NH3+])C(F)(F)F,-174.9578,-155.39172
52,0,CN(C)C(C)(C)C,C[NH+](C)C(C)(C)C,-28.42073,-21.34579
53,0,CC(C)(C)C(N)=N,CC(C)(C)C(=N)[NH3+],-12.94015,-0.85985
53,1,CC(C)(C)C(N)=N,CC(C)(C)C(N)=[NH2+],-12.94015,-13.79189
54,0,CC(C)(C)C(N)=O,CC(C)(C)C([NH3+])=O,-70.79539,-48.6134
55,0,CC(=C)C(C)(C)N,C=C(C)C(C)(C)[NH3+],-7.6734,-7.27383
56,0,CC(C)(N)C(N)=N,CC(C)([NH3+])C(=N)N,-2.41068,20.24592
56,1,CC(C)(N)C(N)=N,CC(C)(N)C(=N)[NH3+],-2.41068,6.60876
56,2,CC(C)(N)C(N)=N,CC(C)(N)C(N)=[NH2+],-2.41068,-5.43809
57,0,CC(C)(N)C(N)=O,CC(C)([NH3+])C(N)=O,-62.72118,-41.36704
57,1,CC(C)(N)C(N)=O,CC(C)(N)C([NH3+])=O,-62.72118,-47.20496
58,0,CC(C)(N)C(O)=O,CC(C)([NH3+])C(=O)O,-114.00953,-95.81992
59,0,CC(C)(N)C(F)=C,C=C(F)C(C)(C)[NH3+],-44.86325,-27.72326
60,0,CC(C)(O)C(N)=N,CC(C)(O)C(=N)[NH3+],-50.93926,-40.2697
60,1,CC(C)(O)C(N)=N,CC(C)(O)C(N)=[NH2+],-50.93926,-51.16996
61,0,CC(C)(O)C(N)=O,CC(C)(O)C([NH3+])=O,-108.44416,-94.42479
62,0,CC(C)(F)C(N)=N,CC(C)(F)C(=N)[NH3+],-49.05006,-41.7081
62,1,CC(C)(F)C(N)=N,CC(C)(F)C(N)=[NH2+],-49.05006,-53.19993
63,0,CC(C)(F)C(N)=O,CC(C)(F)C([NH3+])=O,-108.34801,-95.92056
64,0,CC(F)(F)C(N)=N,CC(F)(F)C(=N)[NH3+],-96.98778,-92.35872
64,1,CC(F)(F)C(N)=N,CC(F)(F)C(N)=[NH2+],-96.98778,-101.40822
65,0,CC(F)(F)C(N)=O,CC(F)(F)C([NH3+])=O,-152.6433,-144.9432
66,0,NC(=N)C(F)(F)F,N=C([NH3+])C(F)(F)F,-146.18081,-146.48275
66,1,NC(=N)C(F)(F)F,NC(=[NH2+])C(F)(F)F,-146.18081,-153.0931
67,0,NC(=O)C(F)(F)F,[NH3+]C(=O)C(F)(F)F,-203.87053,-198.93577
68,0,CC(C)CC(C)N,CC(C)CC(C)[NH3+],-35.91965,-9.39496
69,0,CC(N)CC(C)N,CC(N)CC(C)[NH3+],-26.46758,1.23907
69,1,CC(N)CC(C)N,CC(N)CC(C)[NH3+],-26.46758,1.08319
70,0,CC(N)CC(C)O,CC([NH3+])CC(C)O,-74.44224,-43.83412
71,0,CC(N)CC(C)F,CC([NH3+])CC(C)F,-74.30213,-47.35824
72,0,CC(N)CC(F)F,CC([NH3+])CC(F)F,-118.78498,-93.8954
73,0,CC(C)NC(C)C,CC(C)[NH2+]C(C)C,-34.23281,-19.25012
74,0,CC(C)CN(C)C,CC(C)C[NH+](C)C,-28.00701,-7.91481
75,0,CC(N)CN(C)C,CC([NH3+])CN(C)C,-19.73887,7.41131
75,1,CC(N)CN(C)C,CC(N)C[NH+](C)C,-19.73887,2.0046
76,0,CC(O)CN(C)C,CC(O)C[NH+](C)C,-66.29821,-43.70604
77,0,CC(F)CN(C)C,CC(F)C[NH+](C)C,-66.53825,-33.22863
78,0,CN(C)CC(F)F,C[NH+](C)CC(F)F,-112.90526,-80.31444
79,0,CC(C)CC(N)=N,CC(C)CC(=N)[NH3+],-14.92407,-3.68431
79,1,CC(C)CC(N)=N,CC(C)CC(N)=[NH2+],-14.92407,-15.55981
80,0,CC(C)CC(N)=O,CC(C)CC([NH3+])=O,-71.65346,-56.50573
81,0,CC(N)CC(C)=C,C=C(C)CC(C)[NH3+],-10.43258,16.69695
82,0,CC(N)CC(N)=N,CC([NH3+])CC(=N)N,-4.86396,26.7372
82,1,CC(N)CC(N)=N,CC(N)CC(=N)[NH3+],-4.86396,8.23454
82,2,CC(N)CC(N)=N,CC(N)CC(N)=[NH2+],-4.86396,-2.72757
83,0,CC(N)CC(N)=O,CC([NH3+])CC(N)=O,-62.29647,-38.42964
83,1,CC(N)CC(N)=O,CC(N)CC([NH3+])=O,-62.29647,-48.1223
84,0,CC(N)CC(O)=O,CC([NH3+])CC(=O)O,-116.07647,-88.26338
85,0,CC(N)CC(F)=C,C=C(F)CC(C)[NH3+],-45.23246,-18.6033
86,0,CC(O)CC(N)=N,CC(O)CC(=N)[NH3+],-50.70725,-40.29352
86,1,CC(O)CC(N)=N,CC(O)CC(N)=[NH2+],-50.70725,-50.67096
87,0,CC(O)CC(N)=O,CC(O)CC([NH3+])=O,-109.93161,-93.54442
88,0,CC(F)CC(N)=N,CC(F)CC(=N)[NH3+],-52.11378,-42.18881
88,1,CC(F)CC(N)=N,CC(F)CC(N)=[NH2+],-52.11378,-53.57105
89,0,CC(F)CC(N)=O,CC(F)CC([NH3+])=O,-109.66751,-95.09391
90,0,NC(=N)CC(F)F,N=C([NH3+])CC(F)F,-97.15324,-87.93056
90,1,NC(=N)CC(F)F,NC(=[NH2+])CC(F)F,-97.15324,-99.55933
91,0,NC(=O)CC(F)F,[NH3+]C(=O)CC(F)F,-155.90011,-139.46496
92,0,CC(C)NC(C)=N,CC(=N)[NH2+]C(C)C,-12.33713,7.95836
92,1,CC(C)NC(C)=N,CC(=[NH2+])NC(C)C,-12.33713,-13.88227
93,0,CC(C)NC(C)=O,CC(=O)[NH2+]C(C)C,-69.61251,-46.08224
94,0,CC(C)NC(N)=N,CC(C)[NH2+]C(=N)N,-7.35641,15.5871
94,1,CC(C)NC(N)=N,CC(C)NC(=N)[NH3+],-7.35641,9.10786
94,2,CC(C)NC(N)=N,CC(C)NC(N)=[NH2+],-7.35641,-5.31313
95,0,CC(C)NC(N)=O,CC(C)[NH2+]C(N)=O,-67.17649,-43.45072
95,1,CC(C)NC(N)=O,CC(C)NC([NH3+])=O,-67.17649,-51.49331
96,0,CC(C)OC(N)=N,CC(C)OC(=N)[NH3+],-42.85378,-29.51375
96,1,CC(C)OC(N)=N,CC(C)OC(N)=[NH2+],-42.85378,-43.5679
97,0,CC(C)OC(N)=O,CC(C)OC([NH3+])=O,-106.25978,-90.54409
98,0,CN(C)CC(C)=C,C=C(C)C[NH+](C)C,-1.66286,11.38196
99,0,CN(C)CC(C)=O,CC(=O)C[NH+](C)C,-55.04175,-28.76189
100,0,CN(C)CC(N)=N,C[NH+](C)CC(=N)N,2.38278,21.04314
100,1,CN(C)CC(N)=N,CN(C)CC(=N)[NH3+],2.38278,12.66728
100,2,CN(C)CC(N)=N,CN(C)CC(N)=[NH2+],2.38278,0.93801
101,0,CN(C)CC(N)=O,C[NH+](C)CC(N)=O,-55.97413,-25.91294
101,1,CN(C)CC(N)=O,CN(C)CC([NH3+])=O,-55.97413,-42.59904
102,0,CN(C)CC(O)=O,C[NH+](C)CC(=O)O,-106.79931,-78.19759
103,0,CN(C)CC(F)=C,C=C(F)C[NH+](C)C,-36.90056,-24.30524
104,0,CN(C)NC(C)=N,CC(=N)N[NH+](C)C,22.47704,37.24634
104,1,CN(C)NC(C)=N,CC(=N)[NH2+]N(C)C,22.47704,45.36715
104,2,CN(C)NC(C)=N,CC(=[NH2+])NN(C)C,22.47704,19.988
105,0,CN(C)NC(C)=O,CC(=O)N[NH+](C)C,-33.86082,-23.59916
